ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
63044728-51f4-4350-9843-f96c4d1c9239,2019-12-02T13:30:04.297Z,2019-12-02T14:54:06.000Z,rodrigo.cedeno.j@gmail.com,"Width of bike lane and shoulder",45.490053,9.188202,16,5037408,514706,32T,"Width of bike lane and shoulder",0,,
ef5359cd-f15b-4cd2-8045-badeea7bf25c,2019-12-02T13:29:48.896Z,2019-12-02T14:54:04.000Z,rodrigo.cedeno.j@gmail.com,Lighting,45.490203,9.188247,17,5037425,514709,32T,Lighting,3,,
c964801b-b474-4ea0-962b-d5d9f11a0c1c,2019-12-02T13:29:27.249Z,2019-12-02T14:54:03.000Z,rodrigo.cedeno.j@gmail.com,"Curb ramps",45.490084,9.188151,12,5037412,514702,32T,"Curb ramps",2,"On each extreme",
e5b052d8-ce36-4870-977d-7311072c7819,2019-12-02T13:28:47.430Z,2019-12-02T14:54:01.000Z,rodrigo.cedeno.j@gmail.com,"Width of sidewalk",45.489838,9.188275,9,5037384,514711,32T,"Width of sidewalk",3,,
c38ca6fc-d5b5-4beb-83c3-968eb92d6a63,2019-12-02T13:28:28.435Z,2019-12-02T14:53:24.000Z,rodrigo.cedeno.j@gmail.com,Buffer,45.490142,9.18809,9,5037418,514697,32T,Buffer,2,"On each extreme",
216a4e12-04ca-4008-8dc1-2a19093bcacc,2019-12-02T13:28:00.494Z,2019-12-02T14:52:52.000Z,rodrigo.cedeno.j@gmail.com,"On-street parking",45.490006,9.188167,14,5037403,514703,32T,"On-street parking",1,,
4839bd35-5f97-47fe-9009-1e9a00efc659,2019-12-02T13:27:38.948Z,2019-12-02T14:51:49.000Z,rodrigo.cedeno.j@gmail.com,"Number of lanes",45.490032,9.188204,15,5037406,514706,32T,"Number of lanes",1,,4839bd35-5f97-47fe-9009-1e9a00efc659_1575293256.jpg
be54e812-4ed7-4464-b102-3a81794f31a3,2019-12-02T13:25:38.253Z,2019-12-02T14:51:37.000Z,rodrigo.cedeno.j@gmail.com,"Width of bike lane and shoulder",45.48937,9.187655,9,5037332,514663,32T,"Width of bike lane and shoulder",0,,
8099e223-4941-43dd-8aed-8104d8fc605c,2019-12-02T13:25:18.011Z,2019-12-02T14:51:25.000Z,rodrigo.cedeno.j@gmail.com,Lighting,45.489272,9.18765,8,5037321,514663,32T,Lighting,4,,
18c16290-72b6-4c93-acf6-c59f962e4018,2019-12-02T13:24:57.302Z,2019-12-02T14:50:55.000Z,rodrigo.cedeno.j@gmail.com,"Curb ramps",45.489272,9.187605,13,5037321,514659,32T,"Curb ramps",2,,
c28543c5-de4d-4804-9c87-69645ec987d4,2019-12-02T13:24:40.072Z,2019-12-02T14:50:42.000Z,rodrigo.cedeno.j@gmail.com,"Width of sidewalk",45.489353,9.187671,6,5037330,514664,32T,"Width of sidewalk",3.3,,
8fbacadf-0c4b-46fa-865f-3b728b7cbdf8,2019-12-02T13:24:18.383Z,2019-12-02T14:50:30.000Z,rodrigo.cedeno.j@gmail.com,Buffer,45.489252,9.187794,12,5037319,514674,32T,Buffer,2,"On each corner",
ba86c9e7-12aa-4bd3-8112-a62a09ecf760,2019-12-02T13:23:48.056Z,2019-12-02T14:50:15.000Z,rodrigo.cedeno.j@gmail.com,"On-street parking",45.489375,9.187601,14,5037333,514659,32T,"On-street parking",1,,
6d651165-2c79-478e-b887-d263f96c7ca7,2019-12-02T13:23:30.495Z,2019-12-02T14:50:14.000Z,rodrigo.cedeno.j@gmail.com,"Number of lanes",45.488426,9.187305,14,5037227,514636,32T,"Number of lanes",1,,6d651165-2c79-478e-b887-d263f96c7ca7_1575293005.jpg
16fbc312-2cdf-4dc1-8187-cba48452ce32,2019-12-02T13:21:13.068Z,2019-12-02T14:50:12.000Z,rodrigo.cedeno.j@gmail.com,"Width of bike lane and shoulder",45.488558,9.187315,14,5037242,514637,32T,"Width of bike lane and shoulder",0,,
eda949ad-2fca-4ca6-8c40-150ec9b4cc6d,2019-12-02T13:20:54.005Z,2019-12-02T14:50:11.000Z,rodrigo.cedeno.j@gmail.com,Lighting,45.488513,9.187337,15,5037237,514639,32T,Lighting,5,,
6f8b0ce9-6a83-4639-bdaf-c11fe3204be2,2019-12-02T13:20:35.859Z,2019-12-02T14:50:09.000Z,rodrigo.cedeno.j@gmail.com,"Curb ramps",45.488593,9.18724,13,5037246,514631,32T,"Curb ramps",2,,
f8ec09f3-a050-4f23-b006-fb0294b18a2a,2019-12-02T13:20:17.440Z,2019-12-02T14:50:08.000Z,rodrigo.cedeno.j@gmail.com,"Width of sidewalk",45.488483,9.187312,13,5037234,514637,32T,"Width of sidewalk",3,,
445be73f-b6bc-40a0-a087-ce521b193689,2019-12-02T13:19:59.060Z,2019-12-02T14:50:06.000Z,rodrigo.cedeno.j@gmail.com,Buffer,45.488547,9.187385,17,5037241,514642,32T,Buffer,0,,445be73f-b6bc-40a0-a087-ce521b193689_1575292796.jpg
f2e5b43f-65a0-4317-991c-1cf4b7f7c7aa,2019-12-02T13:18:58.574Z,2019-12-02T14:50:05.000Z,rodrigo.cedeno.j@gmail.com,"On-street parking",45.48856,9.187347,14,5037242,514639,32T,"On-street parking",1,,
0183270a-13d1-442c-a8e0-5518069a8321,2019-12-02T13:18:40.401Z,2019-12-02T14:50:04.000Z,rodrigo.cedeno.j@gmail.com,"Number of lanes",45.488525,9.187393,25,5037238,514643,32T,"Number of lanes",1,,
3829f1a2-361a-4d48-94b3-45452358ff79,2019-12-02T13:17:50.502Z,2019-12-02T14:50:02.000Z,rodrigo.cedeno.j@gmail.com,Lighting,45.48824,9.187327,14,5037207,514638,32T,Lighting,5,,
5d7d338f-f2a7-4714-a634-646860be7e09,2019-12-02T13:17:25.781Z,2019-12-02T14:50:01.000Z,rodrigo.cedeno.j@gmail.com,"Curb ramps",45.488283,9.187361,13,5037211,514640,32T,"Curb ramps",1,,
