ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
adccf9c2-95f0-470d-9afc-7fd00ae96ff1,2019-12-02T14:47:58.518Z,2019-12-02T14:49:34.000Z,angellyp@uninorte.edu.co,"Width of bike lane and shoulder",45.48615,9.188263,20,5036975,514711,32T,"Width of bike lane and shoulder",0,,
db785135-c98d-4311-ac33-fe716948f78f,2019-12-02T14:47:33.621Z,2019-12-02T14:49:33.000Z,angellyp@uninorte.edu.co,Lighting,45.486128,9.188303,10,5036972,514715,32T,Lighting,5,,
aeafe5c7-4f2b-432b-99a0-c6ad9fe26991,2019-12-02T14:47:17.159Z,2019-12-02T14:49:31.000Z,angellyp@uninorte.edu.co,"Curb ramps",45.486185,9.188239,14,5036978,514710,32T,"Curb ramps",2,,
00f1cb45-4cf8-4c39-89ad-83885498b9bf,2019-12-02T14:47:00.956Z,2019-12-02T14:49:30.000Z,angellyp@uninorte.edu.co,"Width of sidewalk",45.486133,9.18845,15,5036973,514726,32T,"Width of sidewalk",3,,00f1cb45-4cf8-4c39-89ad-83885498b9bf_1575298018.jpg
f4bddbff-a504-4fb7-b276-678f5c464720,2019-12-02T14:45:29.729Z,2019-12-02T14:49:29.000Z,angellyp@uninorte.edu.co,Buffer,45.486164,9.188595,16,5036976,514737,32T,Buffer,0,,
fa41df2e-b54b-4e75-bc8f-f7a5b22b3020,2019-12-02T14:45:06.652Z,2019-12-02T14:49:27.000Z,angellyp@uninorte.edu.co,"On-street parking",45.486088,9.188755,14,5036968,514750,32T,"On-street parking",1,,
999ee496-b828-4c94-b5f3-5c66ea0b28e5,2019-12-02T14:44:46.064Z,2019-12-02T14:49:26.000Z,angellyp@uninorte.edu.co,"Number of lanes",45.486089,9.188442,14,5036968,514725,32T,"Number of lanes",1,,
80610bb5-967b-4d20-9e0c-02f0786e931a,2019-12-02T14:43:39.682Z,2019-12-02T14:49:24.000Z,angellyp@uninorte.edu.co,"Width of bike lane and shoulder",45.48632,9.188149,5,5036993,514703,32T,"Width of bike lane and shoulder",0,,
880260c1-04e4-44c6-b8cb-9e65520c73b0,2019-12-02T14:43:18.891Z,2019-12-02T14:49:23.000Z,angellyp@uninorte.edu.co,Lighting,45.486336,9.188184,8,5036995,514705,32T,Lighting,6,,
10ae374e-10af-4214-8d84-c4a84ff99ce2,2019-12-02T14:42:55.337Z,2019-12-02T14:49:22.000Z,angellyp@uninorte.edu.co,"Curb ramps",45.486329,9.188194,10,5036994,514706,32T,"Curb ramps",2,,
48c2830b-8732-4163-9c8a-488abdd57ded,2019-12-02T14:42:31.809Z,2019-12-02T14:49:20.000Z,angellyp@uninorte.edu.co,"Width of sidewalk",45.486349,9.188174,12,5036997,514704,32T,"Width of sidewalk",2,,48c2830b-8732-4163-9c8a-488abdd57ded_1575297749.jpg
6c441c8c-604b-4366-9c98-e05f650e9102,2019-12-02T14:41:54.729Z,2019-12-02T14:49:19.000Z,angellyp@uninorte.edu.co,Buffer,45.486372,9.188192,10,5036999,514706,32T,Buffer,0,,
5d1cfd20-3e99-40f3-9fb2-3e904b0ab092,2019-12-02T14:41:31.958Z,2019-12-02T14:49:17.000Z,angellyp@uninorte.edu.co,"On-street parking",45.486379,9.188269,10,5037000,514712,32T,"On-street parking",1,,
cea7646e-8c46-42cd-8fab-c6a333c27161,2019-12-02T14:41:13.607Z,2019-12-02T14:49:16.000Z,angellyp@uninorte.edu.co,"Number of lanes",45.486325,9.188156,5,5036994,514703,32T,"Number of lanes",1,,
