ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
72a231a1-cc5e-4fc5-ac0e-4ccbe2e63123,2019-12-02T14:00:53.929Z,2019-12-02T14:49:40.000Z,rdilarazaf@gmail.com,Buffer,45.489485,9.186046,30,5037345,514537,32T,Buffer,1,50cm,
c8b20a04-86b7-4e5a-a5be-4e6641875e0a,2019-12-02T13:59:35.615Z,2019-12-02T14:49:39.000Z,rdilarazaf@gmail.com,"Curb ramps",45.489742,9.187169,10,5037373,514625,32T,"Curb ramps",2,,
2f7dc500-67cc-4e3b-83fd-0370ca05c0c9,2019-12-02T13:57:18.156Z,2019-12-02T14:49:37.000Z,rdilarazaf@gmail.com,"Number of lanes",45.489742,9.187169,10,5037373,514625,32T,"Number of lanes",1,,
862c18ad-2707-4623-8aa1-fa246ecd0ec5,2019-12-02T13:56:58.737Z,2019-12-02T14:49:36.000Z,rdilarazaf@gmail.com,"On-street parking",45.489742,9.187169,10,5037373,514625,32T,"On-street parking",1,,
b94557d9-e874-4f29-af49-fc438266dc17,2019-12-02T13:56:39.863Z,2019-12-02T14:49:34.000Z,rdilarazaf@gmail.com,Lighting,45.489742,9.187169,10,5037373,514625,32T,Lighting,6,,
e0a4a942-0392-47d5-ad24-188c0e094998,2019-12-02T13:56:17.165Z,2019-12-02T14:49:33.000Z,rdilarazaf@gmail.com,"Width of sidewalk",45.489659,9.187151,25,5037364,514624,32T,"Width of sidewalk",3,,
f74e1ee9-5ab0-4257-995d-2abe7be015c2,2019-12-02T13:01:02.008Z,2019-12-02T14:49:31.000Z,rdilarazaf@gmail.com,"Curb ramps",45.487415,9.187144,10,5037115,514624,32T,"Curb ramps",1,,
0f532842-9c5a-482f-b92e-34397dd05bc5,2019-12-02T13:00:39.701Z,2019-12-02T14:49:30.000Z,rdilarazaf@gmail.com,Buffer,45.487415,9.187144,10,5037115,514624,32T,Buffer,1,,
b7d1c571-3277-4c36-90b7-9e49d70446f9,2019-12-02T13:00:04.825Z,2019-12-02T14:49:29.000Z,rdilarazaf@gmail.com,Lighting,45.48756,9.187133,30,5037131,514623,32T,Lighting,1,,
3e17fa57-819c-4c41-a166-3502180f9f71,2019-12-02T12:58:52.947Z,2019-12-02T14:49:27.000Z,rdilarazaf@gmail.com,Lighting,45.487124,9.186916,25,5037083,514606,32T,Lighting,1,,
174f8f3d-7016-48f4-8c9d-81de5f59958b,2019-12-02T12:57:46.550Z,2019-12-02T14:49:25.000Z,rdilarazaf@gmail.com,Lighting,45.487099,9.186879,30,5037080,514603,32T,Lighting,1,,
5a3b0fe2-f4c7-420d-adaf-a57d8e2b1039,2019-12-02T12:57:09.739Z,2019-12-02T14:49:24.000Z,rdilarazaf@gmail.com,Lighting,45.486914,9.186839,10,5037059,514600,32T,Lighting,1,,
