ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
11c3031f-06d4-45ee-9069-8d4542713a8a,2019-12-02T14:48:26.301Z,2019-12-02T14:48:39.000Z,alessandro.zacchera@gmail.com,Lighting,45.485848,9.187415,8,5036941,514645,32T,Lighting,4,,
481fe2e9-52e4-4a76-8f79-e189766491cd,2019-12-02T14:47:39.470Z,2019-12-02T14:48:38.000Z,alessandro.zacchera@gmail.com,"Width of sidewalk",45.485881,9.187387,7,5036945,514643,32T,"Width of sidewalk",1.2,"No elevated sidewalk",481fe2e9-52e4-4a76-8f79-e189766491cd_1575298053.jpg
e90a6448-77c0-45ac-b1f8-453c2671cc30,2019-12-02T14:46:24.659Z,2019-12-02T14:48:36.000Z,alessandro.zacchera@gmail.com,"On-street parking",45.485857,9.187333,13,5036942,514639,32T,"On-street parking",0,,
63c7193a-9877-41bc-8b54-a745106af570,2019-12-02T14:46:06.035Z,2019-12-02T14:48:35.000Z,alessandro.zacchera@gmail.com,"Number of lanes",45.485846,9.18729,10,5036941,514636,32T,"Number of lanes",1,,
f5c49fb6-d882-42ea-ac2f-3786379430c8,2019-12-02T14:44:56.910Z,2019-12-02T14:45:35.000Z,alessandro.zacchera@gmail.com,Lighting,45.485871,9.186966,8,5036943,514610,32T,Lighting,2,,
55caa71f-a747-4d02-ade6-ee4ae40c887c,2019-12-02T14:44:35.818Z,2019-12-02T14:45:34.000Z,alessandro.zacchera@gmail.com,"Curb ramps",45.485848,9.186851,18,5036941,514601,32T,"Curb ramps",1,,
65919ad1-bb2e-4d1c-9095-25330c46c450,2019-12-02T14:44:12.603Z,2019-12-02T14:45:32.000Z,alessandro.zacchera@gmail.com,"Width of sidewalk",45.485844,9.186851,16,5036940,514601,32T,"Width of sidewalk",1.6,,
f09b4246-8d2d-4c08-bd47-c88ca497838b,2019-12-02T14:43:55.296Z,2019-12-02T14:45:31.000Z,alessandro.zacchera@gmail.com,Buffer,45.485785,9.186768,15,5036934,514595,32T,Buffer,0,,
4c348772-4130-4422-90bd-1233c1359e14,2019-12-02T14:43:40.064Z,2019-12-02T14:45:29.000Z,alessandro.zacchera@gmail.com,"On-street parking",45.485752,9.186834,13,5036930,514600,32T,"On-street parking",0,,
c8597d57-4f3f-434c-9f26-f95877b5833c,2019-12-02T14:43:25.208Z,2019-12-02T14:45:28.000Z,alessandro.zacchera@gmail.com,"Number of lanes",45.485781,9.18678,14,5036933,514596,32T,"Number of lanes",1,,
